,cognitive_process_dimension_level,knowledge_dimension_level,Analyzing,Understanding,Evaluating,Applying,Remembering,Creating,conceptual_knowledge,factual_knowledge,procedural_knowledge,metacognitive_knowledge,bloom_todo
10129,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10130,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10131,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10132,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10133,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10134,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10135,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10136,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10137,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10138,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10139,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10140,"Understanding, Applying",Factual Knowledge,0,1,0,1,0,0,0,0,0,0,0
10141,"Understanding, Applying",Factual Knowledge,0,1,0,1,0,0,0,0,0,0,0
10142,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10143,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10144,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10145,Evaluating,Factual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10146,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10147,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10148,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10149,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10150,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10151,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10152,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10153,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10154,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10155,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10156,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10157,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10158,Creating,Procedural Knowledge.0,0,0,0,0,0,1,0,0,0,0,0
10159,Creating,Procedural Knowledge.0,0,0,0,0,0,1,0,0,0,0,0
10160,Creating,Procedural Knowledge.0,0,0,0,0,0,1,0,0,0,0,0
10161,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10162,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10163,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10164,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10165,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10166,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10167,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10168,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10169,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10170,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10171,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10172,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10173,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10174,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10175,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10176,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10177,Understanding,"Conceptual Knowledge, Procedural Knowledge",0,1,0,0,0,0,0,0,0,0,0
10178,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10179,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10180,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10181,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10182,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10183,Creating,Conceptual Knowledge,0,0,0,0,0,1,0,0,0,0,0
10184,Creating,Conceptual Knowledge,0,0,0,0,0,1,0,0,0,0,0
10185,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10186,Evaluating,"Metacognitive Knowledge, Conceptual Knowledge",0,0,1,0,0,0,0,0,0,0,0
10187,Evaluating,"Metacognitive Knowledge, Conceptual Knowledge",0,0,1,0,0,0,0,0,0,0,0
10188,Evaluating,"Metacognitive Knowledge, Conceptual Knowledge",0,0,1,0,0,0,0,0,0,0,0
10189,Creating,Procedural Knowledge,0,0,0,0,0,1,0,0,0,0,0
10190,Evaluating,"Metacognitive Knowledge, Conceptual Knowledge",0,0,1,0,0,0,0,0,0,0,0
10191,Analyzing,"Factual Knowledge, Conceptual Knowledge, Procedural Knowledge",1,0,0,0,0,0,0,0,0,0,0
10192,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10193,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10194,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10195,Understanding,Procedural Knowledge,0,1,0,0,0,0,0,0,0,0,0
10196,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10197,Evaluating,Procedural Knowledge,0,0,1,0,0,0,0,0,0,0,0
10198,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10199,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10200,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10201,Remembering,Procedural Knowledge,0,0,0,0,1,0,0,0,0,0,0
10202,Analyzing,"Conceptual Knowledge, Procedural Knowledge",1,0,0,0,0,0,0,0,0,0,0
10226,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10227,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10228,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10229,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10230,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10231,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10232,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10233,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10234,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10235,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10236,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10237,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10238,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10239,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10240,Creating,Conceptual Knowledge,0,0,0,0,0,1,0,0,0,0,0
10241,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10242,"Understanding.0, Applying.0",Conceptual Knowledge,0,1,0,1,0,0,0,0,0,0,0
10243,"Understanding.0, Applying.0",Conceptual Knowledge,0,1,0,1,0,0,0,0,0,0,0
10244,"Applying.0, Analyzing.0",Conceptual Knowledge,1,0,0,1,0,0,0,0,0,0,0
10245,"Applying.0, Analyzing.0",Conceptual Knowledge,1,0,0,1,0,0,0,0,0,0,0
10246,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10247,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10248,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10249,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10250,Applying,Factual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10251,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10252,Understanding,Procedural Knowledge,0,1,0,0,0,0,0,0,0,0,0
10253,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10254,Evaluating,Metacognitive Knowledge,0,0,1,0,0,0,0,0,0,0,0
10255,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10256,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10257,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10258,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10259,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10260,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10261,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10262,Evaluating,Metacognitive Knowledge,0,0,1,0,0,0,0,0,0,0,0
10263,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10264,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10265,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10266,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10267,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10268,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10269,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10270,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10271,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10272,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10273,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10274,Understanding,Procedural Knowledge,0,1,0,0,0,0,0,0,0,0,0
10275,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10276,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10277,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10278,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10279,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10280,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10281,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10282,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10283,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10284,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10285,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10286,Understanding,Procedural Knowledge,0,1,0,0,0,0,0,0,0,0,0
10287,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10288,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10289,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10290,Creating,"Conceptual Knowledge, Procedural Knowledge",0,0,0,0,0,1,0,0,0,0,0
10291,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10292,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10293,Creating,Procedural Knowledge,0,0,0,0,0,1,0,0,0,0,0
10294,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10295,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10296,Creating,Procedural Knowledge,0,0,0,0,0,1,0,0,0,0,0
10297,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10298,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10299,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10300,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10301,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10302,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10303,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10304,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10305,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10306,Remembering,Procedural Knowledge,0,0,0,0,1,0,0,0,0,0,0
10307,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10308,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10309,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10310,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10311,Remembering,Procedural Knowledge,0,0,0,0,1,0,0,0,0,0,0
10312,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10313,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10314,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10315,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10316,Remembering,Procedural Knowledge,0,0,0,0,1,0,0,0,0,0,0
10317,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10318,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10319,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10320,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10321,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10322,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10323,Creating,Conceptual Knowledge,0,0,0,0,0,1,0,0,0,0,0
10324,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10325,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10326,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10327,Analyzing,"Metacognitive Knowledge, Conceptual Knowledge",1,0,0,0,0,0,0,0,0,0,0
10328,"Remembering.0, Understanding.0, Analyzing.0",Factual Knowledge. Factual Knowledge,1,1,0,0,1,0,0,0,0,0,0
10329,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10330,Remembering,Factual Knowledge. Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10331,Understanding,Factual Knowledge. Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10332,Applying,Factual Knowledge. Factual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10333,"Remembering.0, Understanding.0, Evaluating.0",Factual Knowledge. Factual Knowledge,0,1,1,0,1,0,0,0,0,0,0
10334,Understanding,Factual Knowledge. Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10335,Applying,Factual Knowledge. Factual Knowledge,0,0,0,1,0,0,0,0,0,0,0
10336,Analyzing,Factual Knowledge. Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10337,Remembering,Factual Knowledge. Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10338,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10339,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10340,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10341,Analyzing,"Metacognitive Knowledge, Conceptual Knowledge",1,0,0,0,0,0,0,0,0,0,0
10342,Remembering,Factual Knowledge. Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10343,Remembering,Factual Knowledge. Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10344,Remembering,Factual Knowledge. Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10345,Remembering,Factual Knowledge. Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10346,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10347,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10348,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10349,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10350,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10351,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10352,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10353,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10354,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10355,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10356,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10357,"Applying, Analyzing","Conceptual Knowledge, Procedural Knowledge",1,0,0,1,0,0,0,0,0,0,0
10358,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10359,Analyzing,"Conceptual Knowledge, Procedural Knowledge",1,0,0,0,0,0,0,0,0,0,0
10360,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10361,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10362,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10363,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10364,Analyzing,Factual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10365,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10366,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10367,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10368,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10369,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10370,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10371,Evaluating,Metacognitive Knowledge,0,0,1,0,0,0,0,0,0,0,0
10372,Creating,Metacognitive Knowledge,0,0,0,0,0,1,0,0,0,0,0
10373,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10374,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10375,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10376,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10377,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10378,Creating,Metacognitive Knowledge,0,0,0,0,0,1,0,0,0,0,0
10379,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10380,"Evaluating, Creating",Metacognitive Knowledge,0,0,1,0,0,1,0,0,0,0,0
10381,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
10382,Creating,Procedural Knowledge,0,0,0,0,0,1,0,0,0,0,0
10383,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10384,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10385,Understanding,Factual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10386,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10387,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10388,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10389,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10390,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10391,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10392,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10393,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10394,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10395,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10396,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10397,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10398,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10399,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10400,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
10401,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10402,"Analyzing, Evaluating",Conceptual Knowledge,1,0,1,0,0,0,0,0,0,0,0
10403,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10404,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10405,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10406,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10407,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10408,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10409,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10410,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10411,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10412,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
10413,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
10414,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10415,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
10416,"Applying, Analyzing","Procedural Knowledge, Conceptual Knowledge",1,0,0,1,0,0,0,0,0,0,0
10417,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10418,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
10419,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
